name,category,address,city,state,zip,phone,website,short_description,source_url
Double O Farm,Agriculture,,Belfast,TN,37019,,https://www.facebook.com/doubleofarm09/,Family farm raising registered walking/spotted saddle horses and goats,https://www.facebook.com/doubleofarm09/
Marshall Farmers Co-Op,Agriculture,,Lewisburg,TN,37091,,https://www.farmco.ag/dealers/marshall-farmers-co-op-lewisburg/,Farm feed and supply store,https://madbarn.com/directory/marshall-farmers-co-op/
Sage Hill Farms,Agriculture,,Petersburg,TN,37144,,,"Commercial herb farm: culinary seasonings, teas and tisanes",https://www.whereorg.com/petersburg-tn
Woodfeather Farm Winery and Vineyard,Agriculture,,Chapel Hill,TN,37034,,https://www.woodfeatherfarm.com/,Small-batch farm winery and vineyard,https://www.chapelhilltn.com/local-businesses
Henry Horton State Park,Arts & Entertainment,4358 Nashville Hwy,Chapel Hill,TN,37034,,https://tnstateparks.com/parks/henry-horton,State park (golf lodge recreation),https://tnstateparks.com/parks/henry-horton
Advance Auto Parts,Automotive,450 N Ellington Pkwy,Lewisburg,TN,37091,,https://stores.advanceautoparts.com/tn/lewisburg/450-n-ellington-pkwy,Auto parts and accessories store,https://stores.advanceautoparts.com/tn/lewisburg/450-n-ellington-pkwy
AutoZone,Automotive,856 N Ellington Pkwy,Lewisburg,TN,37091,,https://www.autozone.com/locations/tn/lewisburg/856-n-ellington-pkwy.html,Auto parts and accessories store,https://www.autozone.com/locations/tn/lewisburg/856-n-ellington-pkwy.html
C & F Tire and Auto,Automotive,1750 Mooresville Hwy,Lewisburg,TN,37091,(931) 422-2036,https://www.cftire.com/,Auto repair and tire shop (since 1982),https://www.cftire.com/
Chapel Hill Auto Care & Towing,Automotive,401 Horton Pkwy,Chapel Hill,TN,37034,(931) 364-3585,,Auto repair and towing,https://www.yelp.com/biz/chapel-hill-auto-care-and-towing-chapel-hill
Garrett's Automotive & Wrecker Service,Automotive,311 S Horton Pkwy,Chapel Hill,TN,37034,(931) 364-7475,,Auto repair and wrecker/towing service,https://us.nextdoor.com/pages/garretts-automotive-wrecker-service-chapel-hill-tn-1/
Hooper's Tire & Auto Service,Automotive,311 S Horton Pkwy,Chapel Hill,TN,37034,,,Tire and auto repair shop,https://www.yelp.com/biz/hoopers-tire-and-auto-service-chapel-hill
Libby's Auto & Diesel Towing Inc.,Automotive,,Cornersville,TN,37047,,,Auto/diesel repair and towing,https://www.manta.com/mb_51_ALL_JQX/cornersville_tn
NAPA Auto Parts,Automotive,401 W Commerce St,Lewisburg,TN,37091,,https://www.napaonline.com/en/tn/lewisburg/store/27461,Auto parts store,https://www.napaonline.com/en/tn/lewisburg/store/27461
O'Reilly Auto Parts,Automotive,460 N Ellington Pkwy,Lewisburg,TN,37091,(931) 359-3503,https://locations.oreillyauto.com/en-us/tn/lewisburg/autoparts-941.html,Auto parts and accessories store,https://locations.oreillyauto.com/en-us/tn/lewisburg/autoparts-941.html
O'Reilly Auto Parts,Automotive,139 S Horton Pkwy,Chapel Hill,TN,37034,,https://locations.oreillyauto.com/en-us/tn/chapelhill/autoparts-1758.html,Auto parts and accessories store,https://locations.oreillyauto.com/en-us/tn/chapelhill/autoparts-1758.html
Okay Tire & Brake Center,Automotive,301 Darnell-Mealer Rd,Lewisburg,TN,37091,(931) 359-2150,,Tire and brake center,https://www.yellowpages.com/lewisburg-tn/auto-repair-service
SpringPlace Automotive,Automotive,1811 Springplace Rd,Lewisburg,TN,37091,(931) 675-9841,,Auto repair shop,https://www.yellowpages.com/lewisburg-tn/auto-repair-service
Dalton's Barber Shop,Beauty & Personal Care,445 N 3rd Ave,Lewisburg,TN,37091,(931) 359-2599,,Barber shop,https://www.groupon.com/biz/lewisburg-tn/daltons-barber-shop
Great Clips,Beauty & Personal Care,1364 N Ellington Pkwy,Lewisburg,TN,37091,(931) 422-7003,https://salons.greatclips.com/us/tn/lewisburg/,Hair salon chain (Walmart center),https://salons.greatclips.com/us/tn/lewisburg/
